school,Metric,score
ROCHESTER,POLS+IR16,75.57142857
PENN STATE,POLS+IR16,99.16666667
RICE,POLS+IR16,174
WISCONSIN MAD,POLS+IR16,28.77777778
TEXAS A&M,POLS+IR16,126.75
WASHINGTON,POLS+IR16,103.8181818
UCLA,POLS+IR16,20.46153846
ILLINOIS,POLS+IR16,151.25
NORTHWESTERN,POLS+IR16,27.25
GEORGE WASHINGTON,POLS+IR16,43.15
EMORY,POLS+IR16,124.25
OHIO STATE,POLS+IR16,51.92307692
FLORIDA STATE,POLS+IR16,35
INDIANA,POLS+IR16,120.4
MINNESOTA,POLS+IR16,42.9
MARYLAND,POLS+IR16,31.53333333
BINGHAMTON,POLS+IR16,12.42857143
MICHIGAN STATE,POLS+IR16,19.375
STONY BROOK,POLS+IR16,0
CORNELL,POLS+IR16,25.44444444
PENN,POLS+IR16,52.3
PITTSBURGH,POLS+IR16,47.2
VANDERBILT,POLS+IR16,9
UC RIVERSIDE,POLS+IR16,2.5
TEXAS AUSTIN,POLS+IR16,40.55555556
COLORADO,POLS+IR16,131
IOWA,POLS+IR16,118.2
ARIZONA,POLS+IR16,40.4
BROWN,POLS+IR16,34.42857143
UC IRVINE,POLS+IR16,21.14285714
NOTRE DAME,POLS+IR16,69.5625
VIRGINIA,POLS+IR16,21.9
UC SANTA BARBARA,POLS+IR16,44
GEORGETOWN,POLS+IR16,119.2173913
OREGON,POLS+IR16,45.6
JOHNS HOPKINS,POLS+IR16,7.111111111
SYRACUSE,POLS+IR16,35.09090909
STANFORD,H-Index POLS +IR16,4.636363636
HARVARD,H-Index POLS +IR16,1.857142857
MICHIAN AA,H-Index POLS +IR16,3.4
COLUMBIA,H-Index POLS +IR16,4
MIT,H-Index POLS +IR16,0.625
PRINCETON,H-Index POLS +IR16,5.631578947
UC SAN DIEGO,H-Index POLS +IR16,3.333333333
YALE,H-Index POLS +IR16,3.428571429
NYU,H-Index POLS +IR16,2.1875
BERKLEY,H-Index POLS +IR16,1.3
CHICAGO,H-Index POLS +IR16,0.5
WASHINGTON ST L,H-Index POLS +IR16,3
DUKE,H-Index POLS +IR16,3.692307692
NORTH CAROLINA CH,H-Index POLS +IR16,2.5
UC DAVIS,H-Index POLS +IR16,4
ROCHESTER,H-Index POLS +IR16,1.571428571
PENN STATE,H-Index POLS +IR16,2.583333333
RICE,H-Index POLS +IR16,3.714285714
WISCONSIN MAD,H-Index POLS +IR16,1.444444444
TEXAS A&M,H-Index POLS +IR16,3.5
WASHINGTON,H-Index POLS +IR16,3.181818182
UCLA,H-Index POLS +IR16,1.307692308
